"filename", "language", "JSON with Comments", "JSON", "TypeScript", "XML", "Markdown", "Prisma", "TypeScript JSX", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\Nocky\Desktop\dentalize\src\components\dashboard\DentalHealthOverview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 4, 74
"c:\Users\Nocky\Desktop\dentalize\src\components\dashboard\MainActions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 2, 6, 95
"c:\Users\Nocky\Desktop\dentalize\src\components\dashboard\NextAppointment.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 0, 5, 11, 97
"c:\Users\Nocky\Desktop\dentalize\src\components\dashboard\NoNextAppointments.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 2, 32
"c:\Users\Nocky\Desktop\dentalize\src\components\dashboard\WelcomeSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\Nocky\Desktop\dentalize\src\components\emails\AppointmentConfirmationEmail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 168, 0, 0, 7, 32, 207
"c:\Users\Nocky\Desktop\dentalize\src\components\landing\CTA.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 0, 8, 9, 91
"c:\Users\Nocky\Desktop\dentalize\src\components\landing\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 5, 95
"c:\Users\Nocky\Desktop\dentalize\src\components\landing\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 3, 41
"c:\Users\Nocky\Desktop\dentalize\src\components\landing\Hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 0, 12, 15, 105
"c:\Users\Nocky\Desktop\dentalize\src\components\landing\HowItWorks.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 112, 0, 0, 16, 18, 146
